	1207,37,152
1684105	35,2130,90,228
1684106	35,4
1684107	35,1170,3105,2583
1684108	35,2146,136
1684109	35,1468,19
1684110	35,2925,136,563,769,223,365,266,81,2351,692,143,1072,505
1684111	35,262,143,688
1684112	35,206,292,81,217,16,177
1684113	35,440,90
1684114	378,49,35,810,467,452,146,272,379,27,535
1684115	35,81
1684116	35,667
1684117	35,81,122
1684118	35,3272
1684119	35,221,81,899
1684120	35,810,90,946,146
1684121	35,231,90,279,95,3
1684122	35,90,1226,147,221,2844
1684123	35,81
1684124	35,85,3885,53,421
1684125	35,84
1684126	35,81
1684127	35,81
1684128	35,17
1684129	35,921,221,131
1684130	35,1217,128
1684131	35,292,221,53
1684132	35,17,568
1684133	35,53,526
1684134	35,441,340,212,66
1684135	35,716,568,15,17,692,272,88,2507
1684136	35,95
1684137	35,49,160,81,77,146,38,236,557,899,477
1684138	35,1207,85,216
1684139	35,294,231,563,3840,337
1684140	35,217,136
1684141	35,81,899
1684142	35,844,14,292,53,48,505
1684143	35,56,1217,14,164,90,806,81,177,143,272,680,505
1684144	35,56,728,893,128,228,1755,222
1684145	35,160,375
1684146	35,46
1684147	35,147
1684148	35,90,70,507,421
1684149	1890,35,90
1684150	35,85,216,122,365,133,208,228,176
1684151	35,174,634
1684152	35,53
1684153	35,1065,2730
1684154	35,3001,568,891,38,53
1684155	429,218,35,94
1684156	35,56,95
1684157	35,3609
1684158	35,1815,440,128
1684159	35,87,143
1684160	35,257,223,133,462,41,88
1684161	35,1414
1684162	35,143,216,14
1684163	35,66,377,210,507,53,281,2973
1684164	91,35,30
1684165	35,90,216
1684166	382,2148,35
1684167	35,1217,14,95,965
1684168	35,1132,97,219,626,554,179,133,81,87,38,680,377,251
1684169	35,76
1684170	35,1999,2019,17,599
1684171	35,663,90,340,550,128,228
1684172	35,14,90,624,685,628,769,177
1684173	35,766,241,131,221,848,252
1684174	35,81
1684175	35,177
1684176	35,234,122
1684177	35,81
1684178	35,1088
1684179	35,49,188,133,2657,46,584,377
1684180	35,96,621
1684181	35,90
1684182	35,271,1226
1684183	35,98
1684184	35,547,136
1684185	35,292,81,93
1684186	35,56,90,177
1684187	35,124
1684188	35,79
1684189	35,85
1684190	35,663,1198,128,680,251
1684191	35,85,266,81,899
1684192	35,2949,292
1684193	35,56
1684194	35,611
1684195	35,766
1684196	1306,35,85,3237,429,2427,286,217,229,667,146,965,536,254,66
1684197	35,218
1684198	35,292,146,36
1684199	35,14
1684200	35,537,278,103,460,154,454,63,38,53,252,234,125,5
1684201	35,143,14,81
1684202	35,266,146,48,222
1684203	35,15,450
1684204	35,728
1684205	35,246,192
1684206	35,292
1684207	35,1835
1684208	35,1699
1684209	35,752,39,43,110
1684210	1258,35
1684211	35,1003,292,90
1684212	35,275,3317,132,90,2418,145,154,329,436,478,876,506,609
1684213	35,223
1684214	35,1226,570,44
1684215	35,146,511,467
1684216	35,56,90,95,365,228,177
1684217	35,544
1684218	35,56,2559
1684219	363,127,35,2348,81,39,620,131,124,254
1684220	35,2703,188,266,246,17,450,2346
1684221	35,417,128,2747,862
1684222	35,1226,147,271,221
1684223	35,1909,107,188
1684224	35,663,568
1684225	35,337,899
1684226	35,663,90,152,1141,228,510
1684227	35,624
1684228	35,3970,81
1684229	35,160
1684230	35,56,146
1684231	35,221,899,580
1684232	35,1226,221
1684233	35,956
1684234	35,85,2089,90,2569,776
1684235	429,1319,35,122
1684236	35,122,95,1226,81,806,67,152,3763,876,1265
1684237	35,766,14,192,236,769
1684238	35,87,241,129,187,228,1996
1684239	35,382,4000
1684240	35,301,255,821,1226,147,391,271,98,16
1684241	35,377
1684242	35,56,829,810,259,196,143,36,137,1034,40
1684243	35,216,231,1022,212,217,125
1684244	35,222
1684245	35,236
1684246	35,81,14
1684247	35,95
1684248	35,14
1684249	35,90
1684250	35,221
1684251	35,326,39,1373,43,797,272,60,72,51
1684252	35,955,81
1684253	35,1360
1684254	35,56,538,218,95,464,797,98,53,769,377
1684255	127,35,295,17,547,208,146,450,131,221,1072
1684256	35,125
1684257	35,421
1684258	35,1226,221
1684259	35,14
1684260	35,90
1684261	35,752,164
1684262	35,241
1684263	35,1821,87
1684264	35,44,231,223,1072,177,93
1684265	35,17,663,497
1684266	35,1771
1684267	35,606,3706,255,3380,2848,63,1942,961,124,1122,1649,3072
1684268	35,271,221
1684269	289,35,93
1684270	35,663,307,2527,3105,1170,128,1885
1684271	35,53
1684272	35,663,164,90,910,462,58
1684273	35,1940,588
1684274	35,295,1072,620,98,3343,899
1684275	35,221
1684276	35,203,395,183,316,398,2342
1684277	35,212
1684278	35,440
1684279	35,81
1684280	35,231
1684281	35,146,251
1684282	35,223,51,838
1684283	35,221,131
1684284	35,230,295
1684285	35,1096
1684286	35,176
1684287	35,296,1145,685,1414,1552,1853
1684288	35,221,1072
1684289	35,436,143
1684290	35,1776,382,316
1684291	35,379,246
1684292	35,230,128
1684293	35,1395
1684294	1102,35,97
1684295	426,907,35
1684296	35,217,535
1684297	35,814
1684298	35,90
1684299	35,231
1684300	35,125
1684301	35,278,70,440,208,667,66
1684302	35,292,217
1684303	35,125,160
1684304	35,49,245,545,491,3077,922,2,825,146,258,533,89,746,379,51,251,535
1684305	35,1932,1060
1684306	35,56,231
1684307	4412,3329,35
1684308	35,107,254,1182
1684309	35,497,436,53,8
1684310	35,844,205,84,617,152,146
1684311	228,35,188,436,128,705,1859
1684312	3313,676,35,1797,218,223,15
1684313	35,3502,663,1759,3717,1259,1325
1684314	35,1375,188
1684315	35,218,369,1360
1684316	35,1890,1005,141,3178,1030,1306
1684317	35,1226
1684318	35,81
1684319	35,464,357,550
1684320	35,221,128
1684321	35,48
1684322	35,294,212,53,192,251,89
1684323	35,491,352,667,673,51
1684324	35,266,217,373,16
1684325	35,228,56,194,2143,221
1684326	35,2143,1002
1684327	35,162,3310,1035,46,436,536,222
1684328	35,131
1684329	35,766,2658
1684330	35,81,131
1684331	35,3068,666,34
1684332	35,90,223,143,98,177
1684333	35,81
1684334	35,56,624,146
1684335	35,85,90,212,292,806,1716,680,5
1684336	35,5
1684337	35,81
1684338	35,56,663,90,910,228,848
1684339	35,49,85,136,223,667,146,208,128,192,93
1684340	35,107,715
1684341	35,1217,806,81,620,146,143,221,505
1684342	35,90,231
1684343	35,1423,893,17,710,1424
1684344	35,848,14,255
1684345	35,188,95,87,3280,547,107,436,612
1684346	35,76,192
1684347	35,1986
1684348	35,164,818,728,76,1711,2130,377
1684349	35,127,95,46
1684350	35,234
1684351	35,153,54,821,147,81,271,230,58,16
1684352	35,17,56,128
1684353	35,251
1684354	35,56,205,2899,1759,86,41,32
1684355	35,90,728,70
1684356	35,49,1009,97,818,67,532,228
1684357	35,216,128
1684358	35,866
1684359	35,2143,667,208,192
1684360	35,451,60
1684361	35,539
1684362	35,766,85,90,278,236,547,359,257
1684363	35,188,81,128,176
1684364	1258,35,1060
1684365	35,622,2523,505
1684366	35,231,223,177,1158,505,93
1684367	35,537
1684368	35,1723,2788
1684369	35,367,2813,2973
1684370	35,95
1684371	35,223,93
1684372	35,90,14
1684373	35,618,139,230,436,98,255,254
1684374	35,177
1684375	35,98
1684376	35,56
1684377	35,352,147
1684378	35,742,44,598,763
1684379	35,95,14
1684380	35,223,131
1684381	35,1030
1684382	35,584
1684383	35,1843
1684384	676,308,35,44,810,90,212,292,81,146,143,53,680,60,51,177
1684385	35,537,192,60,93
1684386	35,2935
1684387	35,122,87,1974,67
1684388	35,766,177,14
1684389	35,143
1684390	35,2805,90,164
1684391	35,81
1684392	35,1217,38,228,2012
1684393	35,187,66,1472
1684394	35,164,218,95,241,1344,2130
1684395	35,90,14
1684396	35,1022
1684397	35,84,152,81
1684398	35,70
1684399	35,203,14,1032,292,147,357,5,93
1684400	35,15,17,1075,475,5,1201
1684401	35,192
1684402	35,766,955,728,81,464,70,146,1002,125,177
1684403	35,3510,14,128,177
1684404	35,95
1684405	35,81
1684406	35,125
1684407	35,592,307,390,825,379
1684408	35,1459,217
1684409	35,223
1684410	35,103,2844
1684411	35,143
1684412	35,56,1677,592,14,231,2019,154,146,93
1684413	35,3343
1684414	35,465,31,708
1684415	35,95,94,624
1684416	35,177,81
1684417	35,93
1684418	35,56,14,15,1054
1684419	35,81
1684420	35,304,251,1300
1684421	35,81
1684422	35,464
1684423	35,90,93,25
1684424	35,32,295
1684425	35,899,128
1684426	35,122
1684427	35,81
1684428	35,56,1217,231,146,272,5
1684429	35,810
1684430	35,143,81
1684431	35,109
1684432	35,5,98
1684433	35,337
1684434	35,417
1684435	35,85,38,53,2368,125
1684436	35,111
1684437	35,301,821,147,271,16,255,5
1684438	35,221,255
1684439	35,228
1684440	35,81
1684441	35,221,131
1684442	35,797,77,467
1684443	127,35,90,577,715
1684444	35,436
1684445	718,35,279,266,846,46,143,60,72,19
1684446	35,56,81,122
1684447	35,926
1684448	35,154,90
1684449	35,295,231,278,624,806,81,547,177,230,146,620,505
1684450	35,107
1684451	35,56,81,17,131,236,221,177
1684452	35,27,143
1684453	35,88
1684454	35,502,491,450
1684455	35,592,81
1684456	35,56,292
1684457	2279,60,35,95
1684458	35,76
1684459	35,2593
1684460	35,848,56,810
1684461	35,127,2743
1684462	35,4477,292,728,81,53,505
1684463	35,90
1684464	35,133
1684465	35,391,236,98,53,88,5,93
1684466	35,475,112
1684467	35,56,2329,365,3307,128
1684468	35,221,192
1684469	35,69
1684470	35,505,806,455
1684471	35,84
1684472	35,2874
1684473	35,95,436
1684474	35,3423
1684475	35,217,17,1158,1377,152,88,387,51
1684476	35,14
1684477	35,81
1684478	35,292,3184,205
1684479	35,231,390,881,128,177
1684480	35,3478
1684481	35,216
1684482	35,810,81,246,241,272,599,88,51,377
1684483	35,1085
1684484	35,692,146,164
1684485	35,56,467,544,1991,2491
1684486	35,90,14
1684487	35,28,2892,137,356
1684488	35,1060
1684489	35,1003,1217
1684490	35,1590,547,236,221
1684491	35,85,231,204,218,95,365,81,558,143
1684492	35,154,1591
1684493	35,1003,85,755,136,446,81,70,527,2752,329,146,198
1684494	35,56,592,231,728,17,128,228
1684495	35,728
1684496	35,95,152
1684497	35,491,832,3606,478
1684498	35,477,343
1684499	35,235,107,129,868,841
1684500	35,152,97,810
1684501	35,17
1684502	35,125,90
1684503	35,90,429,728,436
1684504	35,810,90,95,143
1684505	35,1929,1999,217,505,535
1684506	35,1872,2586,307,188,228,1354
1684507	35,90
1684508	35,221,131
1684509	35,1072
1684510	35,56,663,44,223,87,81,440
1684511	35,663,231,90,81,177
1684512	35,14,292,93
1684513	35,218,84,143,228
1684514	35,467,81,208,1072
1684515	35,568
1684516	35,502,963,467
1684517	35,2959,1771
1684518	35,164,81,70,146,680,88
1684519	35,107,422
1684520	35,81
1684521	35,663,3844,365,30,146,192,98,702,377,1859
1684522	127,35,1221,56,122,2199
1684523	35,663,231,1815,228,177
1684524	35,164,81,125,1072
1684525	35,329,507
1684526	35,206
1684527	35,107
1684528	35,101
1684529	35,1447,8
1684530	35,176
1684531	35,90,93
1684532	35,3809,255
1684533	35,545,438,955,579,526,221,51
1684534	35,547
1684535	35,56,179,2639,133,2457,84,1256,450,128,3234
1684536	35,179,81,532
1684537	35,223,547,107,46,131,128,221
1684538	35,90
1684539	35,56,231,90,218,728,2569,1414
1684540	35,350,1032,68,497,707,89
1684541	35,85,81,192
1684542	35,1009,85,136,539,88,584,254,93
1684543	35,177,14
1684544	35,81
1684545	35,208,318
1684546	35,231,797,3460
1684547	35,1001
1684548	35,1456
1684549	35,505
1684550	35,1464,1319,1456,1853
1684551	35,179,56,127
1684552	35,1815
1684553	35,44
1684554	35,56,14,81,217,17,146,1996
1684555	35,1226,221
1684556	35,85,14,217,46
1684557	35,1306,112,90
1684558	35,518,128
1684559	35,775
1684560	35,31,9,212,1146,8,53,2430,868,254
1684561	35,98,357,131
1684562	35,269,49,85,216,14,518,266,464,917,230,152,38,511,2146,254,318
1684563	35,259,558
1684564	35,107,292
1684565	35,3631,222
1684566	35,702
1684567	35,216,810,720,292,154,208
1684568	35,107,81
1684569	35,231
1684570	35,766,85,3193,81,241,547
1684571	35,56,1072
1684572	35,152
1684573	35,606,103,146,2844
1684574	35,231
1684575	35,56,728,128,228
1684576	35,228,192
1684577	35,160,90,150,81,255
1684578	35,94
1684579	35,208
1684580	35,107
1684581	127,35,122,17,131,1060,510
1684582	35,56,177,98
1684583	35,580,70
1684584	1258,35,1821,1981,610,90,95,2148,382
1684585	35,510
1684586	35,766,93
1684587	35,88,464
1684588	35,17,56,81
1684589	35,81
1684590	35,847,525,578
1684591	35,221,271,748
1684592	35,160
1684593	35,88
1684594	35,337,462,133
1684595	35,1226,1158,38,2012,27
1684596	35,342,147,402,1879
1684597	35,95,90,143
1684598	35,139,14,446,1226,146
1684599	35,422
1684600	35,131
1684601	35,547
1684602	35,128,251
1684603	35,222,2913
1684604	35,2242,2240,14,1464,107,2894,129,316,192,1106,53
1684605	35,162,810,212,464,81,70,793
1684606	35,133
1684607	35,219,377,3303,81,881,27,267,131,228,177
1684608	35,279,2359,441
1684609	35,4169,95,208,5
1684610	35,1009,97,1066,917,260,1497
1684611	35,539,14,2500
1684612	35,451,537,85,103,117,152,146,507,667,302,919,93
1684613	35,49
1684614	35,14,2043,17,440,146,963,505
1684615	35,14,164,147,1002
1684616	35,680
1684617	35,221
1684618	35,104
1684619	35,1210,316
1684620	35,14,212,292,1360
1684621	35,44,14,832,143
1684622	35,24,90,1856,5
1684623	35,27,113,452
1684624	35,292
1684625	35,1075
1684626	35,176
1684627	35,592,81
1684628	35,56
1684629	35,276,77
1684630	35,436
1684631	35,680
1684632	35,592
1684633	127,35,592,90,464,806,3097,3036,67,1170,38,251,535
1684634	35,547
1684635	35,81,192
1684636	35,770,218,881,382
1684637	35,295,14,1226,221,769,1265
1684638	35,840,2208,177,2765
1684639	35,146,422
1684640	35,577
1684641	35,56,216,810,90,17,1055,128,228,27
1684642	35,154,539
1684643	35,127
1684644	35,17,177
1684645	35,770
1684646	35,49,56,128,192,228
1684647	35,90
1684648	35,721
1684649	35,131
1684650	35,95
1684651	35,2388,851,131
1684652	35,5
1684653	35,49,97,14,279,133,67,152,532
1684654	35,337,862,236
1684655	35,234,230
1684656	35,14,292,450
1684657	35,1072,81
1684658	35,95,152,146,502,627,1265
1684659	35,17,56
1684660	35,143,1670,396
1684661	35,179,223,177
1684662	35,17,15,272
1684663	1258,2506,35,1776,97,610,228
1684664	35,1068
1684665	35,324
1684666	35,288
1684667	35,766,579,236,769
1684668	35,128
1684669	35,90
1684670	35,14,292,769,93,89
1684671	35,1276
1684672	35,342,107,899,66
1684673	35,663,90,217
1684674	35,223,624,728,806,1072,505
1684675	35,1472
1684676	35,663,90,128
1684677	35,223,436,192
1684678	35,810,390,467,17,599,1054,88,2523
1684679	35,177
1684680	35,17
1684681	35,228,491,90,2090,374,177
1684682	35,222,128,535
1684683	35,1880,1065,1385,579,856,152,143,167,1060,369,1439,3343,0
1684684	35,1003,324
1684685	35,769,122
1684686	35,278,16,66
1684687	35,143
1684688	35,292
1684689	35,270,128,3587
1684690	35,663,3255,2957,702
1684691	35,365,231
1684692	378,35,56,1975,228,398
1684693	35,147
1684694	35,848,663
1684695	35,218
1684696	35,17,228,131
1684697	35,85,294,136,720
1684698	35,81,1060
1684699	35,728
1684700	35,868,440,90
1684701	35,547,128
1684702	35,1096,231
1684703	35,461
1684704	35,1003,81,899
1684705	35,535
1684706	35,56,748,90,95,272,2616
1684707	35,1656
1684708	35,769
1684709	35,231
1684710	35,748,223,728,81,51,176
1684711	1078,35,56,275,204,17,272,192,236
1684712	35,136,806,680,1766
1684713	35,728,228
1684714	35,179,620
1684715	35,663,221
1684716	35,821,1226,147,271
1684717	35,56,467,90,246,217,38,673,450,51,93
1684718	56,85,1132,240,98,32,35,233,455,1061,97,179,68,46,673,3247,204,464,208,257,840,90,1591,373,667,236,177
1684719	35,127
1684720	35,547
1684721	35,87
1684722	35,84,127
1684723	35,128
1684724	35,56,748,228
1684725	35,81
1684726	35,663,1459
1684727	35,278,81,84,776
1684728	35,2012
1684729	35,143
1684730	35,81
1684731	35,107,188
1684732	35,208,14
1684733	35,152
1684734	35,241
1684735	35,81,316
1684736	35,90,98
1684737	35,152,241
1684738	35,223
1684739	35,537
1684740	35,17,56,128
1684741	1258,35,97,2211,610
1684742	35,436,2167,1300
1684743	35,179,97,375
1684744	35,49,14,825,39,154,272,254,251,535
1684745	35,95,81,146,965,511,325,72,505,93
1684746	35,177,70
1684747	35,337,146,81
1684748	35,208,2143,570
1684749	35,518
1684750	35,14
1684751	35,1890
1684752	35,212
1684753	35,728
1684754	35,1001,188,1035,1464,417,763,848
1684755	35,90,98
1684756	35,188
1684757	35,1096
1684758	35,1226
1684759	35,292,81
1684760	1464,577,35,417
1684761	35,624
1684762	35,83,72,179,143,848,839
1684763	35,56,90,81
1684764	35,766,497,93
1684765	35,49,188,95,46,272,379,1859,535
1684766	35,544,81,1999
1684767	35,56,295,90,728,81,881
1684768	35,663,3531
1684769	35,422
1684770	35,2778,3989,518,81,131,221,848
1684771	35,56,221
1684772	35,53
1684773	127,35,455,365,806,131
1684774	35,436
1684775	35,1319,105
1684776	35,1123
1684777	35,160,14
1684778	127,35,56,90,87,133,217,131,254
1684779	35,90
1684780	35,278,1226,16,221
1684781	35,32,216,862
1684782	35,81
1684783	35,663
1684784	35,67,222,910
1684785	35,104,617,200,1054,125,177
1684786	2918,35
1684787	35,81
1684788	35,5
1684789	35,1137
1684790	35,14,231,90,241,236
1684791	35,377
1684792	35,663,90,292,624,81,2403,1492,177
1684793	35,216,188,81,192
1684794	35,2159,641
1684795	35,27
1684796	35,90
1684797	35,231,2348
1684798	35,122,241,1111,1057
1684799	35,90,14
1684800	35,95
1684801	35,2802,81
1684802	35,752
1684803	35,663,1248,179,373,27
1684804	35,221,579,147
1684805	35,2033
1684806	35,14
1684807	35,663,46,568
1684808	35,14,204,79,155,76,478,705,848
1684809	35,1885
1684810	35,81
1684811	35,88,25
1684812	35,88
1684813	35,205,78,881,131
1684814	35,223
1684815	35,14,1032,206,154,1834
1684816	35,56,2873,806,152
1684817	35,81
1684818	35,188,81,230,152,143,128,2759
1684819	35,128,3587
1684820	35,1060,122
1684821	35,1009,122,81,217,230
1684822	35,2523
1684823	35,680,1591
1684824	35,2257
1684825	35,44,810,90,2143,143
1684826	35,224,44,160,164,720,394,78,2888,546,357,259,568,22,3695,2287
1684827	35,221
1684828	90,35,922,14
1684829	35,85,2348,94,27,107,131,257,680,377
1684830	35,728
1684831	35,663,3250,128
1684832	35,1085
1684833	35,482,216,84,1158,502
1684834	35,1003,296,657,1145,228,702
1684835	35,422,2013,782
1684836	35,547
1684837	35,292
1684838	35,14
1684839	35,782
1684840	35,85,164,266,440,146,1283
1684841	35,90,5,14
1684842	35,436,307
1684843	35,14
1684844	35,27
1684845	35,14
1684846	35,1392
1684847	35,107
1684848	35,2830
1684849	35,382
1684850	35,335,387,3961,2130,48,1324
1684851	595,35,17,228,177,176
1684852	35,81
1684853	35,81
1684854	35,177,143
1684855	35,3009,365,136
1684856	35,1999,728,81,236,5
1684857	35,3790,90,1256,2716,1755
1684858	35,387,467
1684859	35,192
1684860	35,81
1684861	35,663,90,81,8,88,5,505,93
1684862	35,56,216,131,221,1940
1684863	35,127,107,378
1684864	35,2616,131,535
1684865	35,2004,217,230,1060,1766
1684866	35,81
1684867	35,81
1684868	35,56,218,133,128,228
1684869	35,93
1684870	35,14,255,628,177
1684871	35,90,246,124
1684872	35,179,535
1684873	35,1408
1684874	35,147,44,16
1684875	35,821,221,147
1684876	35,143,192
1684877	35,218,910
1684878	35,292
1684879	35,127,97
1684880	35,2836,217
1684881	35,236
1684882	4688,1022,35
1684883	35,223,377
1684884	35,136
1684885	35,2802,766,93
1684886	35,67,231
1684887	35,53
1684888	35,152
1684889	35,204
1684890	35,131
1684891	35,192
1684892	35,539,53
1684893	35,294,90,440,192,1283,177,4164
1684894	35,568,806,146,195,680,510
1684895	35,162
1684896	35,563
1684897	35,2146,1815
1684898	35,14,782,422,192
1684899	35,90,728,81,1243,107,143,710,177,93
1684900	35,943,1003,535
1684901	35,164
1684902	429,35,1591
1684903	35,2199,90,624,2159,596,474,2752,1788,1863,3124,177,4115
1684904	35,146
1684905	88,93,35,451,491,450,876,387,51,1233,307,390,17,379,568,2094,617,58,5
1684906	35,810
1684907	35,177
1684908	35,775,88,97,441,426,279,87,464,240,41,369,72,51
1684909	2321,1319,35
1684910	35,505
1684911	35,44,94,292,464,266,208,53,93
1684912	35,90,81,899
1684913	35,44,821,271,507,198,236,221
1684914	35,17,88
1684915	35,932,1745,164,81,217,143
1684916	35,53
1684917	35,895,44,1226,147,1728
1684918	35,177,1170,216
1684919	35,663,1217,241,1265
1684920	35,38,217,231
1684921	35,545,14,53,1656
1684922	35,56,1344,3872,436
1684923	35,85,146,217
1684924	35,390
1684925	35,90
1684926	35,90,81
1684927	35,136
1684928	35,663,90,223,81
1684929	35,221,147
1684930	35,127,769
1684931	35,194,544,131,221
1684932	35,497,158,98,1716
1684933	35,51
1684934	35,1030,535
1684935	35,276
1684936	35,269,844,98,128
1684937	35,177
1684938	35,2,292
1684939	35,292
1684940	622,1143,357,281,35,413,451,405,318,1125,545,14,3,208,915,716,25,285,258,282
1684941	35,539,90
1684942	35,81
1684943	35,2836,491,223,241,15,17,27,272,377
1684944	35,3014,231,223,728,81,177
1684945	35,292
1684946	35,95,90
1684947	35,308,709,1442,483,270,436,507,140,2258
1684948	35,32,769,53
1684949	35,14,39,241,143,192,236
1684950	35,48,1030
1684951	35,56,95,1758,673,228
1684952	35,642
1684953	35,663,2907
1684954	429,35,223
1684955	35,563,90,810
1684956	35,81
1684957	35,952,84,131,221
1684958	35,1003,136,164,1085,146,98,1002,221,124,680,125
1684959	35,90,81,1447,436,140
1684960	35,728,128,956
1684961	35,292,436
1684962	35,179
1684963	35,125
1684964	35,221,147
1684965	35,95,81,2907
1684966	35,782,474,1660,809,486
1684967	35,14
1684968	35,87,192,231
1684969	35,95,728
1684970	35,2004
1684971	35,90,81,14
1684972	35,292,2863,510,717
1684973	35,90,146
1684974	35,88,128
1684975	35,88,146
1684976	35,728
1684977	35,1392,467,266,87,17,539,38,143,956
1684978	35,177,81,217
1684979	35,2863,90,1454
1684980	35,537,592,164,147,1085,460,70,154,255,5
1684981	35,592,1861,188,776
1684982	35,620,236
1684983	35,782,436,422,611
1684984	35,146,236
1684985	35,1157,32
1684986	35,88
1684987	35,2235,146
1684988	35,49,491,810,692,60
1684989	35,231,90,205
1684990	35,663,90,422,1060
1684991	35,56,177,241
1684992	35,1226,221
1684993	35,154
1684994	35,44
1684995	35,81
1684996	35,2830
1684997	35,663,1996
1684998	35,663,90,217,107,436
1684999	35,856
1685000	35,158,90
1685001	35,271,1226,147
1685002	35,279,221
1685003	35,2734
1685004	35,216
1685005	35,127,411,1690,192
1685006	35,1975,818,133,131
1685007	35,90
1685008	35,2427,90
1685009	35,296,90,128,1414
1685010	35,212,87,162
1685011	35,90
1685012	35,3105,1060
1685013	35,231
1685014	35,14,218,539,143,272
1685015	35,49,455,390,624,81,143,128,60,505
1685016	35,85,179,266,81,87,217,464,38,177
1685017	35,245,174,292,236,5
1685018	35,56,1217,2841,216,14,3071,1226,1158,38,272,2012,27
1685019	35,337,223,155
1685020	127,35,56,44,231,90,365,825,452,678,462,2975,228,254,505
1685021	35,355
1685022	35,177
1685023	35,128
1685024	35,133,438
1685025	35,81
1685026	35,81
1685027	35,451,56,206,143,956,1723
1685028	35,1656
1685029	35,44,90,821,1226,147,579,208,221,5
1685030	35,292
1685031	35,2019,128
1685032	35,921,221
1685033	35,231
1685034	35,269,219,365,133,84,152,19
1685035	35,218,2177,131
1685036	35,128,3587
1685037	35,66,255,2143,351,70,146,311,535
1685038	676,35,90,2427,95
1685039	35,308,1353,657,1225,2317,1145,342,1344,2894,316,4009,536
1685040	35,1035
1685041	35,441
1685042	35,2491
1685043	35,81
1685044	1298,35,97,1065,179,952,783,251
1685045	35,547,365
1685046	35,1996,836
1685047	35,1577,806,143,177
1685048	35,145
1685049	35,14,154,177,53,5,377,93
1685050	35,605,719,292,579,1146,154,907,620,53,486,2203
1685051	35,90
1685052	35,728
1685053	35,806,505
1685054	35,1217,810,212,95,146,143
1685055	35,221,748,357
1685056	35,301,147,53
1685057	35,1226
1685058	35,269,1319,547
1685059	35,1125,592,2841,770,396,305,881,17,1360,254,176
1685060	35,38
1685061	35,17,643,192
1685062	35,44,14,596,143,236,93
1685063	35,1607
1685064	35,56
1685065	35,154
1685066	35,1456
1685067	35,1580
1685068	35,538,467,1849,95,452,1209,15,79,32
1685069	35,81
1685070	35,90
1685071	35,429,218,1815,539,956
1685072	35,221
1685073	35,56,748,14,122
1685074	35,85,90,769,177,535
1685075	35,2907,806,1394,143,93
1685076	35,146,276
1685077	35,249,2900
1685078	35,81
1685079	35,81
1685080	1821,35,1428,4415,2646,2491
1685081	35,46
1685082	35,122
1685083	35,221,131
1685084	35,177
1685085	35,128,231
1685086	35,1226
1685087	35,223
1685088	35,943,663,1003,295,357,402,562
1685089	35,1243,3172,46,1030
1685090	35,95,1801
1685091	35,197,692,104
1685092	35,545,1143,221,634
1685093	35,547,56,164
1685094	35,85,132,946,1656,27,176
1685095	35,5
1685096	35,946,436
1685097	35,269,188,1577,2375,38,60,1072,899
1685098	35,177,579
1685099	35,125,292
1685100	35,225,666,68,88
1685101	35,125,292
1685102	35,127,187,464
1685103	35,96
1685104	35,510,221
1685105	35,81
1685106	35,221
1685107	35,179,910,911,1002,3096,502,2203
1685108	35,97,133,257,32
1685109	35,436,131
1685110	35,90,95,279,81,511,337,51
1685111	35,292
1685112	35,14
1685113	35,85,122,2143,208,146,131
1685114	35,90,81,547,177
1685115	35,38,81,492
1685116	35,27
1685117	35,295,391,87,910,356
1685118	35,107
1685119	35,14,325
1685120	35,15,266,1298
1685121	35,85,81,146,143,177
1685122	35,769
1685123	35,766,27,236
1685124	35,95,592,2980
1685125	35,51,599
1685126	35,188,107,146,436,53,228
1685127	35,81
1685128	35,663,14,95,81,1060,1265
1685129	35,2841,748,810,90,2143,17,228
1685130	35,56,90,728,462,228
1685131	35,127
1685132	35,97,810
1685133	35,2004,922
1685134	35,663,90,1170,128
1685135	35,17,5
1685136	35,2384
1685137	35,85,1132,204,217,146,192,337,177,535
1685138	35,2207,919,143
1685139	35,46
1685140	176,35,748,1975,352,217,146,535
1685141	35,1677,2559
1685142	35,728
1685143	35,624
1685144	35,90
1685145	35,146,680
1685146	35,1158,579
1685147	35,228,891,568
1685148	35,90
1685149	35,801,568,454,387
1685150	35,534,95
1685151	35,53
1685152	35,56,748,375,1771,2746,67,152,1863,228,32,19,27
1685153	35,821,1226,147,271,329,221,5
1685154	35,1226,147,271,562,221
1685155	35,562
1685156	35,292
1685157	35,663,85,81,241,43,146,143,236,848,177
1685158	35,88,90
1685159	35,1996,568
1685160	35,81
1685161	1118,127,35,1392,204,387,95,15,440,38,72,1283,93
1685162	35,1885
1685163	35,56,663,592,218,95,87,1000,107,841
1685164	35,95,1057
1685165	35,139,870,577,1034,1245
1685166	35,455,1590,179,411,81,143,221
1685167	35,1843
1685168	35,1955,2769,373
1685169	35,580
1685170	35,81
1685171	35,537,850,2086,90,212,87,436,369
1685172	35,147,377
1685173	35,663
1685174	35,946,81,143,88
1685175	35,221,131
1685176	35,146
1685177	35,278,292,620,143,93
1685178	35,93
1685179	35,663,90,329,221,222
1685180	35,90,216
1685181	35,154,223,436
1685182	35,106
1685183	35,222,231
1685184	35,122,87,17,440,1096,88
1685185	35,307
1685186	35,278,125
1685187	35,90,728
1685188	35,340
1685189	35,717,628
1685190	35,90
1685191	35,355
