	127,797
2429888	568,2912,76,2190,38,131,88,177,93
2429889	568,15,46,131,387
2429890	446,221,81,131
2429891	56,90,373,406,131,32
2429892	177,131
2429893	221,56,131
2429894	66,131,236
2429895	131,41
2429896	88,357,131,8
2429897	221,131
2429898	208,131
2429899	221,131
2429900	221,131
2429901	221,131
2429902	221,131
2429903	221,131
2429904	131,963,246,81
2429905	188,131
2429906	107,1501,131
2429907	131,862
2429908	221,131
2429909	3946,131,1428
2429910	131,1591
2429911	3649,131
2429912	107,85,131
2429913	538,131
2429914	221,46,131,204
2429915	15,218,221,131
2429916	440,46,131
2429917	221,131,128
2429918	15,627,131,204
2429919	2143,131
2429920	221,131
2429921	131,204
2429922	56,728,131
2429923	131,241
2429924	364,131
2429925	1850,2089,97,90,2189,1286,131,200
2429926	216,14,752,131,236,510,51
2429927	221,131
2429928	88,131,257
2429929	3746,131
2429930	131,373
2429931	1392,838,563,87,131,505
2429932	88,131
2429933	1102,46,131
2429934	91,30,436,131
2429935	56,131
2429936	131,2203
2429937	221,131
2429938	223,357,15,154,46,131,221
2429939	1622,131
2429940	221,131
2429941	97,2006,133,107,539,797,258,131,86,88
2429942	221,131
2429943	131,192
2429944	3627,1022,221,131
2429945	154,131
2429946	46,131
2429947	221,131
2429948	221,131
2429949	77,131,241
2429950	218,131
2429951	188,221,131
2429952	87,131
2429953	223,131
2429954	90,56,223,131
2429955	620,131
2429956	15,218,131
2429957	131,128
2429958	131,164
2429959	97,131
2429960	738,15,208,131,377,251
2429961	15,56,131
2429962	15,131
2429963	221,131
2429964	93,131
2429965	1938,131,41
2429966	1078,49,965,272,131
2429967	188,131
2429968	1795,56,801,87,2107,131,221
2429969	233,131
2429970	15,1199,131
2429971	2143,131
2429972	219,131
2429973	612,131
2429974	177,131
2429975	131,217
2429976	56,204,464,881,131,221,377
2429977	131,782
2429978	221,131
2429979	221,131
2429980	235,1454,222,131
2429981	1607,56,146,131
2429982	577,131
2429983	221,46,131
2429984	221,131
2429985	177,131
2429986	15,131
2429987	221,131
2429988	15,131
2429989	188,218,107,46,38,131
2429990	269,620,146,131
2429991	19,963,131
2429992	221,131
2429993	15,218,131
2429994	160,2955,81,131,221
2429995	97,131
2429996	15,160,131
2429997	592,131,128,112,982
2429998	221,131
2429999	221,131
2430000	131,204
2430001	221,2143,131
2430002	221,107,131
2430003	56,131
2430004	15,221,131
2430005	131,251
2430006	56,131
2430007	221,223,377,131
2430008	584,216,131
2430009	131,217
2430010	194,2033,131
2430011	1890,112,131
2430012	532,56,131
2430013	188,131
2430014	14,179,84,46,143,131,905
2430015	15,620,131
2430016	1392,131
2430017	221,620,131
2430018	1221,2500,218,1543,2719,131,106
2430019	15,131
2430020	2433,505,39,131,377
2430021	131,204
2430022	497,764,154,131,302
2430023	382,131
2430024	218,3343,131
2430025	221,131
2430026	85,131
2430027	396,188,68,17,131,1096,221
2430028	221,131
2430029	218,131
2430030	365,131,204
2430031	15,46,131
2430032	221,131
2430033	3234,131
2430034	221,131
2430035	1256,131
2430036	221,131
2430037	221,131,1859,373
2430038	221,131
2430039	1821,1217,131
2430040	216,17,131,228,1766
2430041	4,131
2430042	131,436,838
2430043	188,131
2430044	2888,131
2430045	221,746,131,176
2430046	628,131
2430047	278,131
2430048	440,131
2430049	56,491,131,97
2430050	2784,131
2430051	436,131
2430052	56,177,131,236
2430053	1022,131
2430054	221,131
2430055	221,868,222,131
2430056	278,85,295,131
2430057	221,131
2430058	440,131
2430059	1217,188,131,128,1996
2430060	56,131
2430061	221,131
2430062	84,131
2430063	221,56,133,131
2430064	766,131
2430065	295,136,1563,81,373,620,131,236,581,51,177
2430066	221,511,131,1591
2430067	56,387,131,956
2430068	14,2257,81,15,46,131,956
2430069	221,131
2430070	436,131
2430071	14,620,131
2430072	221,131
2430073	1072,131
2430074	2041,131
2430075	369,131
2430076	221,131
2430077	341,131
2430078	15,131
2430079	221,14,131
2430080	221,131
2430081	15,131
2430082	95,87,365,15,436,131,228
2430083	32,359,131,421
2430084	221,56,131
2430085	56,2375,107,131,221
2430086	1022,131
2430087	643,436,131
2430088	95,131
2430089	158,131
2430090	88,146,177,131
2430091	39,131
2430092	56,131
2430093	221,131
2430094	56,131
2430095	204,17,46,38,131,511
2430096	194,131
2430097	15,95,76,131
2430098	710,592,131
2430099	142,131
2430100	221,131
2430101	378,538,131,240
2430102	716,81,131,192,769
2430103	90,14,5,131
2430104	131,192
2430105	221,17,46,131
2430106	56,131
2430107	56,803,218,715,131
2430108	221,131
2430109	680,131
2430110	221,131
2430111	56,810,133,373,2108,359,131
2430112	14,131
2430113	84,1256,131
2430114	1256,131
2430115	221,599,131
2430116	131,217
2430117	14,131,1591,87
2430118	221,131
2430119	221,131
2430120	705,221,131
2430121	56,81,131,2405
2430122	628,51,844,131
2430123	221,131,236
2430124	279,131
2430125	221,131
2430126	56,2553,131
2430127	279,131
2430128	451,14,38,131,221,502
2430129	1277,177,131
2430130	95,131
2430131	223,832,391,2857,236,131,88,66
2430132	1454,131
2430133	131,25
2430134	15,131
2430135	564,131
2430136	14,502,46,131
2430137	48,131
2430138	46,131
2430139	618,131
2430140	221,2829,131
2430141	46,131
2430142	177,131
2430143	801,499,131,204
2430144	218,131
2430145	221,131
2430146	221,131
2430147	85,131
2430148	221,1072,131
2430149	107,131
2430150	152,131
2430151	1170,131
2430152	221,103,81,131
2430153	15,221,131
2430154	624,748,131
2430155	60,502,131,246
2430156	14,212,436,131,221,88
2430157	221,46,131,396
2430158	718,131
2430159	221,938,131
2430160	131,217
2430161	188,85,221,131
2430162	221,131
2430163	440,46,87,131
2430164	81,131
2430165	221,131
2430166	1885,131
2430167	818,17,38,192,131,260,60
2430168	769,160,131
2430169	3733,87,81,217,464,15,1207,620,146,131,93
2430170	221,365,131,128
2430171	221,218,131
2430172	160,131
2430173	221,131
2430174	1078,49,365,3,620,131
2430175	131,204
2430176	2784,107,436,131
2430177	295,279,187,1277,131
2430178	221,1170,131
2430179	624,131
2430180	717,131
2430181	221,51,131
2430182	1063,1102,56,1217,1226,15,38,128,131,4023,2012
2430183	676,131
2430184	481,17,67,344,131,221,793
2430185	188,131
2430186	84,131,236
2430187	15,46,221,131
2430188	14,131
2430189	88,131
2430190	1392,131
2430191	15,131
2430192	221,365,131
2430193	221,177,131,164
2430194	221,177,1392,131
2430195	806,131
2430196	131,124
2430197	60,131
2430198	216,131
2430199	1405,292,131,680,1054
2430200	910,131
2430201	766,14,223,17,131
2430202	179,131
2430203	56,131
2430204	160,131
2430205	218,131
2430206	218,131
2430207	221,131
2430208	131,1591
2430209	236,146,131,128,88
2430210	221,131,776,296
2430211	15,131
2430212	221,131
2430213	221,131
2430214	308,844,769,87,131,51,377
2430215	221,131
2430216	56,131
2430217	81,131
2430218	131,1248
2430219	373,84,1256,46,143,131,221
2430220	221,131
2430221	221,131
2430222	56,803,204,131,19
2430223	131,204
2430224	451,131
2430225	84,131,1182
2430226	538,131
2430227	221,46,131
2430228	221,131
2430229	221,131
2430230	131,41
2430231	221,131
2430232	131,467
2430233	14,365,373,131,128
2430234	17,131
2430235	17,131
2430236	160,568,217,38,131,72
2430237	965,131
2430238	221,131
2430239	844,810,90,38,131
2430240	1063,365,143,131,128,705
2430241	748,131
2430242	593,133,131
2430243	221,851,131
2430244	84,622,131
2430245	221,131
2430246	269,97,131
2430247	539,95,81,131
2430248	221,131
2430249	221,131
2430250	84,131
2430251	337,107,131
2430252	152,19,143,131
2430253	221,131
2430254	16,131
2430255	221,131
2430256	221,1815,131
2430257	2279,84,131
2430258	56,81,462,131,221,3343,421
2430259	152,131,467
2430260	221,131
2430261	2348,179,365,46,131
2430262	643,160,218,131,221,747
2430263	221,131
2430264	221,131
2430265	221,131
2430266	15,46,131,204
2430267	221,131
2430268	131,217
2430269	221,1996,131,188
2430270	382,131
2430271	223,131
2430272	56,131
2430273	56,133,84,131,257,228
2430274	221,131,910
2430275	56,160,17,131,221,88
2430276	221,131
2430277	5,131
2430278	1022,131
2430279	221,131
2430280	46,131
2430281	188,107,146,131
2430282	221,56,131
2430283	1132,131,136
2430284	3652,131
2430285	1072,131
2430286	269,131
2430287	3465,491,131
2430288	268,1217,152,131,221,42
2430289	194,269,131
2430290	221,131
2430291	221,131
2430292	49,279,131
2430293	221,131
2430294	218,46,131
2430295	81,131
2430296	85,131
2430297	60,538,131
2430298	2279,95,46,131,1265
2430299	131,204
2430300	221,131
2430301	221,279,131
2430302	2006,131
2430303	188,221,131
2430304	15,131
2430305	177,131
2430306	218,15,17,46,155,131
2430307	221,131
2430308	221,131
2430309	838,204,223,131,379,19
2430310	221,1055,131
2430311	254,131
2430312	107,131
2430313	179,854,32,131
2430314	337,131
2430315	464,19,38,131
2430316	14,292,131,221,177,93
2430317	491,194,133,152,131,128
2430318	221,56,131,511
2430319	766,131
2430320	1609,131
2430321	14,204,2348,87,15,131,876,221
2430322	801,131
2430323	221,365,131
2430324	131,296
2430325	221,398,131
2430326	154,131
2430327	15,56,131
2430328	221,131
2430329	221,131
2430330	769,131
2430331	131,421
2430332	15,806,131
2430333	15,131
2430334	101,131,69
2430335	221,131
2430336	125,131
2430337	1716,131
2430338	1999,2043,642,131,4044
2430339	15,1125,1377,131
2430340	307,131
2430341	223,1815,131
2430342	728,131
2430343	177,131,2348
2430344	49,467,15,38,131,93
2430345	755,131
2430346	97,131
2430347	223,131
2430348	308,216,2513,359,131,60
2430349	160,131
2430350	269,2348,365,46,131
2430351	88,387,769,131
2430352	204,1841,15,539,131,956,88
2430353	221,131
2430354	221,131
2430355	262,131,1265
2430356	90,131
2430357	49,801,90,279,2143,131,221,510,51
2430358	219,131
2430359	1217,1226,131
2430360	3946,131
2430361	221,131
2430362	14,710,131
2430363	221,131
2430364	15,387,221,131
2430365	131,136
2430366	377,131
2430367	14,131
2430368	87,81,17,440,46,131
2430369	233,2512,620,38,131,221
2430370	221,131
2430371	221,222,131
2430372	188,107,46,436,131
2430373	131,44,36
2430374	382,56,131
2430375	221,160,131,236
2430376	221,131
2430377	46,77,131
2430378	221,84,131
2430379	56,131,192
2430380	221,1679,131
2430381	221,56,131
2430382	81,131
2430383	221,715,131
2430384	81,131
2430385	365,131
2430386	2623,131
2430387	1217,1670,806,146,131,128,1072
2430388	131,204
2430389	131,53
2430390	221,620,776,131
2430391	49,204,39,43,131,60,72,51
2430392	221,131
2430393	131,204
2430394	2358,564,15,17,131,93
2430395	95,131
2430396	1207,131
2430397	643,131
2430398	17,131
2430399	223,131
2430400	38,131,204
2430401	15,221,131
2430402	15,221,131
2430403	221,131
2430404	14,5,131
2430405	107,131
2430406	15,221,76,131
2430407	88,46,131
2430408	505,131
2430409	131,204
2430410	221,131
2430411	14,464,160,131
2430412	355,131
2430413	15,131,204
2430414	91,221,131
2430415	90,910,131,128,421
2430416	15,17,221,131
2430417	81,131
2430418	221,131
2430419	221,131
2430420	152,254,131
2430421	38,131
2430422	1459,131
2430423	221,131
2430424	221,131
2430425	221,56,131
2430426	840,88,131,1182
2430427	221,131
2430428	382,1233,131
2430429	131,128
2430430	56,379,131
2430431	1032,131
2430432	179,1132,131
2430433	221,131
2430434	646,622,131
2430435	1063,56,218,131,705,1940
2430436	131,421
2430437	223,131
2430438	15,131,188
2430439	221,131
2430440	221,107,131
2430441	14,131
2430442	88,14,15,17,539,53,131,510,387,2388
2430443	77,131,204
2430444	15,131
2430445	14,291,131
2430446	680,1226,221,131
2430447	221,131
2430448	221,131
2430449	1815,131
2430450	85,131
2430451	131,204
2430452	131,1265
2430453	510,2507,131
2430454	56,95,131
2430455	1677,131
2430456	85,136,365,276,81,217,241,1373,77,230,208,329,131
2430457	1204,2235,131,2710
2430458	2514,131,2734,3349,2523
2430459	56,131
2430460	221,131
2430461	1217,1999,452,131,717
2430462	230,131
2430463	620,131
2430464	538,204,95,15,131,717
2430465	221,131
2430466	228,90,131
2430467	1446,208,548,46,131,236
2430468	1158,131,1060
2430469	188,107,131
2430470	221,56,131
2430471	221,131
2430472	269,2294,81,143,131,88,776
2430473	85,296,577,146,131
2430474	221,131
2430475	221,56,131
2430476	88,599,131
2430477	624,131
2430478	292,15,617,131,221,1587,510
2430479	218,131
2430480	221,131
2430481	81,131
2430482	56,81,131
2430483	81,1373,46,131,221
2430484	221,131
2430485	218,56,131
2430486	15,272,131
2430487	221,85,131
2430488	216,375,175,2909,131,221,60,19
2430489	131,192
2430490	38,131,251
2430491	221,90,131
2430492	46,131
2430493	14,164,223,620,131
2430494	221,131,910
2430495	56,46,131
2430496	93,810,131,236
2430497	620,538,81,131
2430498	221,131
2430499	221,131
2430500	801,46,131
2430501	15,131
2430502	221,95,131
2430503	1217,1072,131
2430504	710,131
2430505	221,131
2430506	221,131
2430507	104,97,131
2430508	15,131,910
2430509	36,131
2430510	717,131
2430511	84,131
2430512	17,95,1054,131
2430513	2388,131
2430514	763,342,208,131
2430515	221,131
2430516	221,131
2430517	262,131,396
2430518	221,131
2430519	3068,717,131
2430520	657,131
2430521	221,131
2430522	56,131
2430523	417,131,764
2430524	56,131
2430525	221,131
2430526	221,131
2430527	702,131
2430528	1072,131
2430529	46,131,373,128
2430530	188,131
2430531	337,131
2430532	56,131
2430533	221,131
2430534	221,131
2430535	95,131
2430536	221,131
2430537	221,208,131
2430538	598,188,46,131,221,1537
2430539	17,93,46,131
2430540	15,221,131
2430541	56,131
2430542	223,832,131,236,66
2430543	95,131
2430544	221,131
2430545	90,107,131,337,379
2430546	90,56,131
2430547	67,19,131
2430548	85,146,46,131
2430549	221,131
2430550	436,131,124
2430551	81,131
2430552	15,131,204
2430553	56,131
2430554	223,131
2430555	563,131,241
2430556	221,208,131
2430557	14,208,131,1226
2430558	131,128
2430559	241,195,131,1283,177,66
2430560	221,131
2430561	2414,131
2430562	131,192
2430563	221,131
2430564	3886,131,204
2430565	3583,46,131
2430566	56,131
2430567	221,131
2430568	56,95,46,38,131
2430569	49,131
2430570	221,46,81,131
2430571	917,269,131,2951
2430572	269,204,15,38,131
2430573	221,592,131
2430574	131,467
2430575	49,272,131
2430576	221,131
2430577	279,131
2430578	1932,131
2430579	85,146,131
2430580	90,38,131
2430581	131,204
2430582	2041,15,131,221,51
2430583	462,131
2430584	308,131,60
2430585	131,136
2430586	221,131
2430587	81,131
2430588	221,131
2430589	15,131
2430590	1932,131
2430591	221,56,131
2430592	15,131
2430593	221,131,2405
2430594	269,365,39,131
2430595	177,131
2430596	56,131,128,228,252
2430597	15,131,204
2430598	1590,38,131
2430599	5,131
2430600	221,131
2430601	15,46,131,188
2430602	846,131
2430603	1392,131
2430604	417,221,131
2430605	56,131,204
2430606	204,790,152,76,131,258
2430607	1063,643,2,218,107,131,374
2430608	221,620,131
2430609	15,56,218,131
2430610	131,204
2430611	568,87,17,440,131,221
2430612	15,131
2430613	3419,68,38,131
2430614	131,75,128
2430615	2907,131
2430616	221,179,359,131
2430617	85,14,2348,464,131,192
2430618	15,440,131
2430619	15,131
2430620	2355,3961,131
2430621	221,131
2430622	131,373
2430623	133,131
2430624	228,131
2430625	221,131
2430626	221,131
2430627	1022,464,246,2229,131,177
2430628	365,131
2430629	14,85,131,236
2430630	131,177,217
2430631	56,177,131
2430632	91,30,221,131
2430633	221,46,131
2430634	221,131
2430635	131,876
2430636	377,131
2430637	269,97,219,179,818,84,107,131,254
2430638	107,131
2430639	221,131,1829
2430640	296,90,577,15,53,131,382,763
2430641	15,38,131
2430642	188,179,15,107,131
2430643	131,124
2430644	43,131
2430645	56,179,38,272,128,131,2388
2430646	204,15,46,131,93
2430647	107,131
2430648	15,131,204
2430649	131,128
2430650	2019,131,128
2430651	221,304,131
2430652	221,131
2430653	221,131
2430654	15,131,204
2430655	67,160,131,1770
2430656	2148,204,131,394
2430657	221,131
2430658	818,131
2430659	221,131
2430660	14,133,246,642,15,84,46,620,76,131,221
2430661	131,38,373
2430662	46,131,204
2430663	337,131
2430664	131,128,3731
2430665	131,251
2430666	643,179,241,131,3343,177
2430667	269,85,44,136,255,2111,90,278,246,25,177,208,131,124,377,66
2430668	766,620,146,131,221
2430669	218,131
2430670	417,1776,131
2430671	15,131
2430672	223,131
2430673	221,131,204
2430674	221,844,131
2430675	563,131,204
2430676	221,131
2430677	221,2006,131
2430678	276,131
2430679	221,279,131
2430680	160,131
2430681	1677,131,1096
2430682	15,17,131
2430683	624,131
2430684	577,131
2430685	221,891,131
2430686	1226,131
2430687	502,131
2430688	219,365,728,2128,131,222
2430689	1973,131
2430690	221,131
2430691	451,131,300
2430692	620,97,131
2430693	188,131,2239
2430694	221,131
2430695	221,131
2430696	133,365,146,131
2430697	221,131
2430698	995,95,4426,131
2430699	221,269,131
2430700	1132,216,131
2430701	228,131
2430702	56,292,728,131,1306,611
2430703	14,95,160,131
2430704	124,295,131,164
2430705	221,81,131
2430706	14,131
2430707	995,626,131
2430708	131,4083
2430709	131,128,2239
2430710	341,131
2430711	88,131
2430712	133,1132,146,131
2430713	577,131
2430714	221,131
2430715	221,131
2430716	221,131
2430717	14,208,131,255,124,125
2430718	131,421
2430719	254,131
2430720	221,832,131
2430721	221,131
2430722	14,2863,131
2430723	221,131
2430724	131,956
2430725	337,85,131
2430726	221,131
2430727	14,131
2430728	84,56,1256,131
2430729	1102,97,131
2430730	262,2602,131
2430731	131,176
2430732	436,131
2430733	221,131
2430734	221,131
2430735	68,131
2430736	56,49,131
2430737	143,131
2430738	221,539,131
2430739	131,204
2430740	136,563,103,81,133,131,421
2430741	221,131
2430742	38,131
2430743	15,131
2430744	221,131
2430745	568,387,294,131
2430746	221,131
2430747	221,131
2430748	208,131
2430749	221,131
2430750	131,177,53
2430751	15,1256,221,131
2430752	14,15,131,221,502
2430753	15,46,131,204
2430754	221,131
2430755	221,131
2430756	221,131
2430757	49,766,217,230,208,131,128,228
2430758	844,90,743,279,1841,241,84,478,131,581,72
2430759	107,93,131
2430760	221,152,131
2430761	216,14,1392,2257,81,956,84,1256,46,539,143,192,236,131,208,769,93
2430762	337,131
2430763	14,85,131
2430764	56,131
2430765	221,131
2430766	107,131
2430767	131,204
2430768	49,88,3252,131
2430769	221,131
2430770	221,2752,107,131
2430771	1821,44,728,81,131,41,124,505,66
2430772	560,131
2430773	97,2006,133,84,131,32,349
2430774	131,128
2430775	221,131
2430776	56,131
2430777	221,131
2430778	56,131
2430779	56,131
2430780	221,131
2430781	221,624,131
2430782	15,131
2430783	131,204
2430784	87,131
2430785	221,14,620,131
2430786	84,179,131
2430787	221,131
2430788	451,539,46,38,131,88
2430789	294,136,446,212,131,1414,302,717,66
2430790	131,4215
2430791	204,241,46,131,369
2430792	221,131
2430793	618,131
2430794	341,88,87,131
2430795	411,218,46,86,131,221
2430796	620,507,131
2430797	90,38,131
2430798	233,294,84,440,548,492,192,131
2430799	131,192
2430800	221,131
2430801	337,131,128,627
2430802	3425,131
2430803	563,131
2430804	221,56,131
2430805	60,131
2430806	131,192
2430807	221,131
2430808	111,131
2430809	221,131
2430810	221,131
2430811	179,131
2430812	14,56,131
2430813	2199,728,1256,617,131,221
2430814	85,2348,278,365,620,131,236,1766
2430815	221,223,131,236
2430816	16,131
2430817	56,131
2430818	49,39,43,131,60,72
2430819	221,131
2430820	221,131
2430821	107,131
2430822	81,38,131,769,177
2430823	3998,131
2430824	377,131
2430825	221,131,204
2430826	85,131
2430827	15,131
2430828	2164,238,15,46,38,143,131,176
2430829	221,131
2430830	221,131
2430831	221,131
2430832	208,131
2430833	2375,131
2430834	752,204,15,46,38,131,221,510
2430835	365,1072,143,131
2430836	221,131
2430837	269,97,131
2430838	208,131
2430839	131,192
2430840	279,131
2430841	617,131
2430842	131,236
2430843	365,806,620,146,131,505
2430844	2623,87,107,436,131
2430845	49,46,272,131
2430846	221,131,241
2430847	620,1072,131
2430848	14,131,192,236
2430849	1821,131,1075
2430850	230,620,81,131
2430851	221,131
2430852	14,825,539,620,131,221,72,1057
2430853	131,204
2430854	221,2143,131,1591
2430855	221,502,81,131
2430856	131,204
2430857	221,1217,131
2430858	221,131
2430859	81,131
2430860	4399,131,3233
2430861	1758,56,505,131
2430862	56,365,131
2430863	221,131
2430864	5,131
2430865	620,131
2430866	146,5,436,131
2430867	221,131
2430868	292,272,131
2430869	3886,218,131
2430870	221,4384,131
2430871	131,467
2430872	673,95,131
2430873	90,1591,84,131,382
2430874	15,131,160,192
2430875	17,216,131
2430876	56,188,133,17,131,19
2430877	538,131
2430878	221,131
2430879	1102,337,131
2430880	221,56,131
2430881	221,46,131,365
2430882	131,204
2430883	233,548,131,257,221
2430884	221,258,131
2430885	221,131
2430886	411,146,131
2430887	44,131,236
2430888	56,131
2430889	56,131
2430890	131,177,246
2430891	5,131
2430892	228,538,131
2430893	221,131
2430894	76,131
2430895	688,46,131,221,2388
2430896	131,204
2430897	221,1132,32,131
2430898	538,218,818,764,131
2430899	221,131
2430900	221,131
2430901	208,131
2430902	221,131
2430903	844,131
2430904	717,131
2430905	15,131
2430906	175,131
2430907	262,131
2430908	15,131,862
2430909	51,131
2430910	15,221,131
2430911	787,391,620,131,221,584
2430912	88,131
2430913	221,131
2430914	221,131
2430915	1157,175,365,81,917,67,131,19
2430916	221,131
2430917	15,17,221,131
2430918	56,365,81,217,131,257,382
2430919	436,131,311
2430920	221,131
2430921	257,81,17,76,131,41
2430922	624,806,81,131
2430923	221,131
2430924	221,131
2430925	221,131
2430926	221,131
2430927	14,825,131,192,93
2430928	17,131
2430929	934,359,131
2430930	188,46,131,2203
2430931	90,177,131
2430932	221,131
2430933	146,131
2430934	46,177,131
2430935	1102,801,365,462,131
2430936	223,95,81,131,3234
2430937	221,131
2430938	15,387,769,131
2430939	221,131
2430940	46,177,131
2430941	56,131
2430942	97,87,43,131,421
2430943	131,53,642
2430944	221,131
2430945	131,128
2430946	919,131
2430947	221,131
2430948	234,1408,131
2430949	131,478
2430950	278,131
2430951	279,131
2430952	221,131
2430953	188,218,221,131
2430954	154,131
2430955	246,46,131,88,177
2430956	292,131,1670,1060
2430957	3113,851,278,133,131,769
2430958	131,1072,177,128
2430959	1117,56,216,131
2430960	81,131
2430961	44,131
2430962	728,2975,131
2430963	1392,131
2430964	221,131
2430965	221,131
2430966	221,131
2430967	38,131
2430968	375,131,2999,467
2430969	221,1408,436,131
2430970	221,131
2430971	32,131
2430972	337,131
2430973	452,131
2430974	1102,56,844,592,218,17,131,478
2430975	81,131
2430976	221,365,131
2430977	221,131
2430978	382,131,136
2430979	90,965,131
2430980	32,131
2430981	136,812,68,580,131
2430982	221,131,241
2430983	223,131
2430984	56,131
2430985	563,832,131
2430986	17,600,131
2430987	221,90,131
2430988	228,17,131,176
2430989	221,131
2430990	77,131
2430991	81,131
2430992	221,620,643,131
2430993	81,131
2430994	131,1072,128
2430995	56,131
2430996	131,204
2430997	221,56,624,131
2430998	14,2143,131
2430999	377,131
2431000	90,131
2431001	56,748,728,131,221
2431002	378,223,107,131,337
2431003	302,131
2431004	624,806,3425,131
2431005	76,452,131
2431006	139,131
2431007	188,87,107,436,131,657
2431008	1055,844,38,131
2431009	172,90,131,1060,53
2431010	221,56,131,14
2431011	56,131
2431012	177,131
2431013	292,131,236
2431014	221,131
2431015	107,131
2431016	56,204,1088,81,131,254,93
2431017	221,131
2431018	221,131
2431019	221,131
2431020	131,343
2431021	131,2348
2431022	88,806,131
2431023	221,131
2431024	194,221,1072,131
2431025	437,131
2431026	269,131
2431027	221,131,128,1144
2431028	801,934,131,369,51
2431029	221,131
2431030	56,624,806,152,131,505
2431031	221,131
2431032	221,131
2431033	14,2041,620,38,131
2431034	277,872,131
2431035	46,81,131
2431036	221,357,131
2431037	3260,81,131,205
2431038	317,95,145,131,358
2431039	221,14,131,241
2431040	776,131
2431041	56,342,292,131,776
2431042	15,131
2431043	2360,3318,131
2431044	177,131
2431045	14,38,131
2431046	56,531,146,131,177
2431047	307,640,68,76,131
2431048	15,88,131
2431049	85,295,131
2431050	177,1072,81,131
2431051	15,599,131
2431052	15,131
2431053	95,627,131,241
2431054	221,56,131
2431055	46,131,240
2431056	15,131
2431057	221,131
2431058	221,146,131
2431059	179,131
2431060	32,344,131
2431061	56,131
2431062	221,56,131,236
2431063	396,204,218,15,131,3106
2431064	146,88,131,3637
2431065	15,17,131
2431066	2657,131
2431067	133,131
2431068	93,236,131,986
2431069	221,131
2431070	84,131
2431071	269,1943,133,461,84,548,1199,740,131
2431072	3574,131,192
2431073	2006,955,131
2431074	228,131
2431075	177,38,131
2431076	131,1060
2431077	131,204
2431078	14,131,217
2431079	49,39,152,43,131,41,51
2431080	1233,95,46,131
2431081	95,965,131
2431082	221,131
2431083	15,131
2431084	221,131
2431085	221,131
2431086	221,131
2431087	467,76,131,584,19
2431088	221,3536,131
2431089	221,131
2431090	218,131,204
2431091	934,131
2431092	221,131
2431093	1102,131,204
2431094	221,131
2431095	728,131
2431096	136,81,620,131,124,221
2431097	56,131
2431098	3652,131
2431099	81,131
2431100	14,131
2431101	228,131
2431102	221,131
2431103	86,279,131
2431104	221,131
2431105	254,131
2431106	221,154,131
2431107	56,131
2431108	15,67,131
2431109	56,131
2431110	221,620,131
2431111	15,3465,702,131
2431112	15,617,131
2431113	218,599,131,128,176
2431114	221,131
2431115	44,131
2431116	221,56,131
2431117	221,131
2431118	592,131
2431119	56,131
2431120	620,131
2431121	563,2143,84,46,131
2431122	581,131
2431123	262,233,81,15,17,131
2431124	85,67,107,131,128,1072
2431125	218,1334,131,221,5
2431126	269,131,204
2431127	2769,212,464,131,221
2431128	131,2797
2431129	221,131
2431130	221,131
2431131	221,131
2431132	236,46,146,131,956,221,387
2431133	221,131
2431134	221,179,131,14
2431135	146,81,131
2431136	14,218,131
2431137	15,221,131,25
2431138	221,131
2431139	131,1060,1096
2431140	221,131
2431141	218,131
2431142	14,131
2431143	85,90,87,107,38,131,33
2431144	387,46,131
2431145	369,548,440,131
2431146	801,131
2431147	221,702,131
2431148	1125,131
2431149	15,223,742,131
2431150	15,131
2431151	221,17,131
2431152	49,955,272,131
2431153	329,131
2431154	194,131
2431155	620,131
2431156	177,131
2431157	56,15,46,131,505
2431158	474,131
2431159	188,1072,131
2431160	32,131
2431161	801,131
2431162	221,131
2431163	302,131
2431164	56,801,160,15,17,131
2431165	1102,131,176
2431166	221,131
2431167	643,131
2431168	14,801,131
2431169	17,131
2431170	592,87,464,46,131,128,176
2431171	131,525
2431172	502,131
2431173	221,131
2431174	221,131
2431175	84,87,131
2431176	269,46,131,1059
2431177	2,221,131
2431178	221,56,1226,131
2431179	32,254,131
2431180	2616,131
2431181	107,131
2431182	643,188,599,131,176
2431183	1256,131,128
2431184	464,131
2431185	131,136
2431186	90,223,131
2431187	2359,131,128,596
2431188	131,1830
2431189	418,222,131
2431190	107,2143,131
2431191	15,38,131,204
2431192	131,1713
2431193	279,95,131,152
2431194	131,204
2431195	620,131
2431196	188,728,146,131,221
2431197	131,128
2431198	131,204
2431199	1789,131
2431200	46,131
2431201	221,131
2431202	221,233,131
2431203	221,131,1615
2431204	14,766,131
2431205	221,131
2431206	67,131
2431207	235,131
2431208	15,620,81,131
2431209	221,599,131
2431210	56,131
2431211	192,1358,359,131
2431212	2787,1869,131
2431213	2820,3576,131,764
2431214	188,131
2431215	221,131
2431216	221,38,81,131
2431217	218,46,131
2431218	56,97,872,2253,17,2770,155,131,221,1587,2652,819
2431219	1132,87,667,46,131,88,93,421
2431220	221,2143,131
2431221	131,204
2431222	2164,131,1072
2431223	3191,56,131,14
2431224	44,131
2431225	221,131
2431226	2623,131
2431227	15,131
2431228	710,131
2431229	241,15,17,131,938
2431230	643,1157,87,107,436,131
2431231	179,187,5,131
2431232	932,440,131
2431233	131,257
2431234	3194,131
2431235	801,491,538,136,204,87,440,258,131,88
2431236	15,131
2431237	221,436,131
2431238	221,131
